descmarca,producto,descrip,claseprod,preciosiva
,COBER2500,SACA HOJAS PILETA,,"696,96"
GUANTES DE CUERO,GUA9999,*GUANTES ALG. MOTEADO*VER GUANTES TEJIDOS,PESOS,"47863,48"
TUBO PRESION 300 LBS. ROJO O N,2025_RB,25 MM x 25 METROS tubo presion 300 lbs,PESOS,"1281,41"
TUBO PRESION 300 LBS. ROJO O N,2024_RB,25 MM x 50 METROS tubo presion 300lbs,PESOS,"1281,43"
6 X 8 MM GAS SOLDADORA DUPLA X,20650_RB,8 x 8 MM GAS SOLDADORA DUPLA x 50 MTS,PESOS,"1129,81"
MEGAM,MEG20,ABECEDARIO CALADO  20 MM.,PESOS,"1092,58"
MEGAM,MEG25,ABECEDARIO CALADO  25 MM.,PESOS,"1134,52"
MEGAM,MEG30,ABECEDARIO CALADO  30 MM.,PESOS,"1274,98"
MEGAM,MEG40,ABECEDARIO CALADO  40 MM.,PESOS,"1420,9"
MEGAM,MEG50,ABECEDARIO CALADO  50 MM.,PESOS,"1563,16"
MEGAM,MEG60,ABECEDARIO CALADO  60 MM.,PESOS,"1862,3"
MEGAM,MEG70,ABECEDARIO CALADO  70 MM.,PESOS,"2103,08"
MEGAM,MEG80,ABECEDARIO CALADO  80 MM.,PESOS,"2334,72"
MEGAM,MEG100,ABECEDARIO CALADO 100 MM.,PESOS,"3119,04"
MEGAM,MEG120,ABECEDARIO CALADO 120 MM.,PESOS,"7274,12"
CRECCHIO,CRATAG1_SA,ABRAZ P/CAñO DE 1,PESOS,0
CRECCHIO,CRATAG1/2_SA,ABRAZ P/CAñO DE 1/2 X 100U.,PESOS,"3335,26"
CRECCHIO,CRATAG1/4_SA,ABRAZ P/CAñO DE 1/4 X 200U.,PESOS,"2842,88"
CRECCHIO,CRATAG3/4_SA,ABRAZ P/CAñO DE 3/4 X 50U.,PESOS,"2637,04"
PERFECTO AUTOMOT. A PEDI,AUT6010,ABRAZAD.M.BENZ C/I 15 MM A3769977090,PESOS,"6615,78"
PERFECTO AUTOMOT. A PEDI,AUT6008,ABRAZAD.M.BENZ C/I 15 MM A3769978490,PESOS,"8741,26"
PERFECTO AUTOMOT. A PEDI,AUT6011,ABRAZAD.M.BENZ C/I 20 MM 0039978590,PESOS,"7821,88"
PERFECTO AUTOMOT. A PEDI,AUT6009,ABRAZAD.M.BENZ C/I 20 MM A0069979590,PESOS,"7769,24"
PERFECTO AUTOMOT. A PEDI,AUT6001,ABRAZAD.M.BENZ C/R 15 MM  74-82 MM 3849977390,PESOS,"8716,56"
PERFECTO AUTOMOT. A PEDI,AUT6002,ABRAZAD.M.BENZ C/R 15 MM  80-88 MM 3849977490,PESOS,"3804,96"
PERFECTO AUTOMOT. A PEDI,AUT6003,ABRAZAD.M.BENZ C/R 15 MM  86-94 MM 3849977490,PESOS,"3901,18"
PERFECTO AUTOMOT. A PEDI,AUT6004,ABRAZAD.M.BENZ C/R 15 MM  92-100MM 3849977490,PESOS,"3992,9"
PERFECTO AUTOMOT. A PEDI,AUT6005,ABRAZAD.M.BENZ C/R 15 MM 104-112MM 3849977590,PESOS,"4156,06"
PERFECTO AUTOMOT. A PEDI,AUT6007,ABRAZAD.M.BENZ C/R 15 MM 116-124MM 3449978190,PESOS,"4447,36"
PERFECTO AUTOMOT. A PEDI,AUT6006,ABRAZAD.M.BENZ C/R 15 MM 116-124MM 3849977690,PESOS,"4447,36"
CARBIZ,CAB0201_SA,ABRAZADERA A (3/8,PESOS,0
PERFECTO,PEFA12_SA,ABRAZADERA ALAMBRE Nº 12 145-195,PESOS,"134,68"
PERFECTO,PEFA19_SA,ABRAZADERA ALAMBRE Nº 19 220-270,PESOS,"139,64"
PERFECTO,PEFA25_SA,ABRAZADERA ALAMBRE Nº 25 285-360,PESOS,"151,82"
PERFECTO,PEFA32_SA,ABRAZADERA ALAMBRE Nº 32 45-36,PESOS,"174,04"
PERFECTO,PEFA38_SA,ABRAZADERA ALAMBRE Nº 38 400-485,PESOS,"176,98"
PERFECTO,PEFA50_SA,ABRAZADERA ALAMBRE Nº 50 520-580,PESOS,"197,88"
PERFECTO,PEFA06_SA,ABRAZADERA ALAMBRE Nº 6  95-140,PESOS,129
PERFECTO,PEFA07_SA,ABRAZADERA ALAMBRE Nº 7 105-150,PESOS,"129,48"
CARBIZ,CAB0202_SA,ABRAZADERA B (1/2,PESOS,0
CARBIZ,CAB0203_SA,ABRAZADERA C (5/8,PESOS,0
PERFECTO,PEF1020_SA,ABRAZADERA CIERRE RAPIDO 10-20,PESOS,"180,08"
PERFECTO.,ERF1020,ABRAZADERA CIERRE RAPIDO 12MM 10-20,PESOS,"190,84"
PERFECTO.,ERF1030,ABRAZADERA CIERRE RAPIDO 12MM 110-130,PESOS,"363,33"
PERFECTO.,ERF2545,ABRAZADERA CIERRE RAPIDO 12MM 125-145,PESOS,"367,03"
PERFECTO.,ERF1728,ABRAZADERA CIERRE RAPIDO 12MM 17-28,PESOS,"193,84"
PERFECTO.,ERF2535,ABRAZADERA CIERRE RAPIDO 12MM 25-35,PESOS,"198,1"
PERFECTO.,ERF3244,ABRAZADERA CIERRE RAPIDO 12MM 32-44,PESOS,"217,96"
PERFECTO.,ERF4052,ABRAZADERA CIERRE RAPIDO 12MM 40-52,PESOS,"234,02"
PERFECTO.,ERF4862,ABRAZADERA CIERRE RAPIDO 12MM 48-62,PESOS,"246,07"
PERFECTO.,ERF5872,ABRAZADERA CIERRE RAPIDO 12MM 58-72,PESOS,"265,16"
PERFECTO.,ERF6785,ABRAZADERA CIERRE RAPIDO 12MM 67-85,PESOS,"271,79"
PERFECTO.,ERF8100,ABRAZADERA CIERRE RAPIDO 12MM 80-100,PESOS,"304,93"
PERFECTO.,ERF9515,ABRAZADERA CIERRE RAPIDO 12MM 95-115,PESOS,"326,43"
PERFECTO,PEF4862_SA,ABRAZADERA CIERRE RAPIDO 48-62,PESOS,"232,76"
PERFECTO AUTOMOT. A PEDI,AUT3011,ABRAZADERA CUMMIS C/I 20 MM 2C355A281AA,PESOS,"8654,15"
PERFECTO AUTOMOT. A PEDI,AUT3001,ABRAZADERA CUMMIS C/I 20 MM 3925218,PESOS,"9635,31"
PERFECTO AUTOMOT. A PEDI,AUT3010,ABRAZADERA CUMMIS C/I 20 MM BF6X6W400A,PESOS,"8873,91"
PERFECTO AUTOMOT. A PEDI,AUT3005,ABRAZADERA CUMMIS C/R 20 MM  50-58 MM,PESOS,"3271,8"
PERFECTO AUTOMOT. A PEDI,AUT3006,ABRAZADERA CUMMIS C/R 20 MM  56-64 MM,PESOS,"3360,92"
PERFECTO AUTOMOT. A PEDI,AUT3004,ABRAZADERA CUMMIS C/R 20 MM  62-76 MM 3924386,PESOS,"3527,45"
PERFECTO AUTOMOT. A PEDI,AUT3008,ABRAZADERA CUMMIS C/R 20 MM  76-84 MM,PESOS,"3774,53"
PERFECTO AUTOMOT. A PEDI,AUT3007,ABRAZADERA CUMMIS C/R 20 MM  86-94 MM,PESOS,"3903,1"
PERFECTO AUTOMOT. A PEDI,AUT3009,ABRAZADERA CUMMIS C/R 20 MM 104-112MM,PESOS,"4156,06"
PERFECTO AUTOMOT. A PEDI,AUT3003,ABRAZADERA CUMMIS C/R 20 MM 3903652,PESOS,"8635,42"
PERFECTO AUTOMOT. A PEDI,AUT3002,ABRAZADERA CUMMIS C/R 24 MM BF8T5A272AA,PESOS,"10395,38"
CARBIZ,CAB0204_SA,ABRAZADERA D (11/16,PESOS,0
PERROTTA,PER31,ABRAZADERA FIAT,PESOS,"2513,19"
PERFECTO AUTOMOT. A PEDI,AUT1005,ABRAZADERA FORD C/I 24 MM 93 MM   4L559U053BA,PESOS,"10807,6"
PERFECTO AUTOMOT. A PEDI,AUT1001,ABRAZADERA FORD C/R 15 MM 54-60 MM 3L558287AA,PESOS,"3603,99"
PERFECTO AUTOMOT. A PEDI,AUT1002,ABRAZADERA FORD C/R 20 MM 58-64 MM 3L558287BA,PESOS,"3776,36"
PERFECTO AUTOMOT. A PEDI,AUT1003,ABRAZADERA FORD C/R 20 MM 62-68 MM 3L558257CA,PESOS,"3995,51"
PERFECTO AUTOMOT. A PEDI,AUT1004,ABRAZADERA FORD C/R 20 MM 68-74 MM 5L558287AA,PESOS,"4201,58"
CARBIZ,CAB0200_SA,ABRAZADERA GAS (5/8,PESOS,0
PERFECTO.,ERF3222,ABRAZADERA INOX AISI 304  9MM  12-22 (100 ),PESOS,"583,87"
PERFECTO.,ERF3627,ABRAZADERA INOX AISI 304  9MM  16-27 ( 100 ),PESOS,"816,64"
PERFECTO.,ERF3060,ABRAZADERA INOX AISI 304  9MM  40-60 (100 ),PESOS,"940,18"
PERFECTO.,ERF3013,ABRAZADERA INOX AISI 304  9MM 110-130 (100 ),PESOS,"1241,88"
PERFECTO.,ERF3030,ABRAZADERA INOX AISI 304 12MM 110-130 (50 ),PESOS,"1446,05"
PERFECTO.,ERF816,ABRAZADERA INOX STD  9MM   8-16 MM ( 100 ),PESOS,"191,16"
PERFECTO.,ERF1222,ABRAZADERA INOX STD  9MM  12-22 MM ( 100 ),PESOS,"193,75"
PERFECTO.,ERF1627,ABRAZADERA INOX STD  9MM  16-27 MM ( 100 ),PESOS,"197,65"
PERFECTO.,ERF2335,ABRAZADERA INOX STD  9MM  23-35 MM ( 100 ),PESOS,"209,36"
PERFECTO.,ERF3045,ABRAZADERA INOX STD  9MM  30-45 MM ( 100 ),PESOS,"217,96"
PERFECTO.,ERF3250,ABRAZADERA INOX STD  9MM  32-50 MM ( 100 ),PESOS,"234,08"
PERFECTO.,ERF4060,ABRAZADERA INOX STD  9MM  40-60 MM ( 100 ),PESOS,"246,37"
PERFECTO.,ERF5070,ABRAZADERA INOX STD  9MM  50-70 MM ( 100 ),PESOS,"265,28"
PERFECTO.,ERF6080,ABRAZADERA INOX STD  9MM  60-80 MM ( 100 ),PESOS,"271,79"
PERFECTO.,ERF810,ABRAZADERA INOX STD  9MM  80-100MM ( 100 ),PESOS,"317,29"
PERFECTO.,ERF9011,ABRAZADERA INOX STD  9MM  90-110MM (  50 ),PESOS,"331,61"
PERFECTO.,ERF60,ABRAZADERA INOX STD 12MM  12-22 MM ( 100 ),PESOS,"234,02"
PERFECTO.,ERF61,ABRAZADERA INOX STD 12MM  16-27 MM ( 100 ),PESOS,"244,06"
PERFECTO.,ERF63,ABRAZADERA INOX STD 12MM  23-35 MM ( 100 ),PESOS,"262,15"
PERFECTO.,ERF64,ABRAZADERA INOX STD 12MM  30-45 MM ( 100 ),PESOS,"265,16"
PERFECTO.,ERF65,ABRAZADERA INOX STD 12MM  32-50 MM ( 100 ),PESOS,"274,2"
PERFECTO.,ERF66,ABRAZADERA INOX STD 12MM  40-60 MM ( 100 ),PESOS,"301,82"
PERFECTO.,ERF67,ABRAZADERA INOX STD 12MM  50-70 MM ( 100 ),PESOS,"304,93"
PERFECTO.,ERF68,ABRAZADERA INOX STD 12MM  60-80 MM ( 100 ),PESOS,"328,14"
PERFECTO.,ERF69,ABRAZADERA INOX STD 12MM  70-90 MM (  50 ),PESOS,"363,33"
PERFECTO.,ERF8010,ABRAZADERA INOX STD 12MM  80-100MM ( 100 ),PESOS,"400,52"
PERFECTO.,ERF1911,ABRAZADERA INOX STD 12MM  90-110MM (  50 ),PESOS,"424,15"
PERFECTO.,ERF1210,ABRAZADERA INOX STD 12MM 100-120MM (  50 ),PESOS,"429,78"
PERFECTO.,ERF1213,ABRAZADERA INOX STD 12MM 110-130MM (  50 ),PESOS,"460,61"
PERFECTO.,ERF1240,ABRAZADERA INOX STD 12MM 120-140MM (  50 ),PESOS,"482,81"
PERFECTO.,ERF1517,ABRAZADERA INOX STD 12MM 150-170MM (  50 ),PESOS,"592,2"
PERFECTO.,ERF1921,ABRAZADERA INOX STD 12MM 190-210MM (  50 ),PESOS,"725,88"
PERFECTO.,ERF3133,ABRAZADERA INOX STD 12MM 310-330MM (  50 ),PESOS,"1645,01"
PERFECTO AUTOMOT. A PEDI,AUT5001,ABRAZADERA IVECO C/I 20 MM 500305817,PESOS,"13104,51"
PERFECTO AUTOMOT. A PEDI,AUT5002,ABRAZADERA IVECO C/I 24 MM 99435103,PESOS,"9301,74"
FISCHER.,FIS41,ABRAZADERA METALICA CRM  1  X 20,PESOS,"1891,64"
FISCHER.,FIS4114,ABRAZADERA METALICA CRM 1 1/4  X 10,PESOS,"1412,39"
FISCHER.,FIS412,ABRAZADERA METALICA CRM 1/2 X 25,PESOS,"1482,4"
FISCHER.,FIS414,ABRAZADERA METALICA CRM 1/4 X 200,PESOS,"4303,6"
FISCHER.,FIS434,ABRAZADERA METALICA CRM 3/4 X 25,PESOS,"1887,06"
FISCHER.,FIS4381,ABRAZADERA METALICA CRM 3/8 X 1000 GIGANTE,PESOS,"40548,22"
FISCHER.,FIS438,ABRAZADERA METALICA CRM 3/8 X 50,PESOS,"2274,67"
FISCHER.,FIS4516,ABRAZADERA METALICA CRM 5/16 X 100,PESOS,"2796,14"
FISCHER.,FIS458,ABRAZADERA METALICA CRM 5/8 X 25,PESOS,"1673,33"
FISCHER.,FIS4581,ABRAZADERA METALICA CRM 5/8 X 600 GIGANTE,PESOS,"33358,19"
FISCHER.,FIS478,ABRAZADERA METALICA CRM 7/8 X 25,PESOS,"2032,3"
FISCHER.,FIS4781,ABRAZADERA METALICA CRM 7/8 X 350 GIGANTE,PESOS,"24122,7"
CARBIZ,CAB0404_SA,ABRAZADERA MICROINOX 13-25 MM,PESOS,"183,38"
CARBIZ,CAB0406_SA,ABRAZADERA MICROINOX 16-38 MM,PESOS,"203,62"
CARBIZ,CAB0402_SA,ABRAZADERA MICROINOX 6-16 MM,PESOS,"163,28"
CARBIZ,CAB0403_SA,ABRAZADERA MICROINOX 8-22 MM,PESOS,"175,62"
PERFECTO.,ERF812,ABRAZADERA MINI BANDA ESTAMPADA 7MM  8-12,PESOS,"180,76"
PERFECTO.,ERF1016,ABRAZADERA MINI BANDA ESTAMPADA 7MM 10-16,PESOS,"187,26"
PERFECTO.,ERF222,ABRAZADERA MINI BANDA ESTAMPADA 7MM 12-22,PESOS,"193,75"
CARBIZ,CAB0405_SA,ABRAZADERA MOCROINOX 16-32 MM,PESOS,"189,4"
PERFECTO AUTOMOT. A PEDI,AUT2001,ABRAZADERA MWM C/I 24 MM TGG253143,PESOS,"11923,33"
FISCHER.,FIS95,ABRAZADERA NYLON+CLAVO ACERO MA  5 B X 100,PESOS,"1936,39"
FISCHER.,FIS85,ABRAZADERA NYLON+CLAVO ACERO MA  5 G X 100,PESOS,"1915,82"
FISCHER.,FIS96,ABRAZADERA NYLON+CLAVO ACERO MA  6 B X 100,PESOS,"2211,26"
FISCHER.,FIS86,ABRAZADERA NYLON+CLAVO ACERO MA  6 G X 100,PESOS,"2186,56"
FISCHER.,FIS98,ABRAZADERA NYLON+CLAVO ACERO MA  8 B X 50,PESOS,"1280,81"
FISCHER.,FIS88,ABRAZADERA NYLON+CLAVO ACERO MA  8 G X 50,PESOS,"1254,74"
FISCHER.,FIS76,ABRAZADERA NYLON+CLAVO ACERO MX  6 B X 50,PESOS,"1243,92"
FISCHER.,FIS66,ABRAZADERA NYLON+CLAVO ACERO MX  6 N X 50,PESOS,"1257,99"
FISCHER.,FIS78,ABRAZADERA NYLON+CLAVO ACERO MX  8 B X 50,PESOS,"1280,81"
FISCHER.,FIS68,ABRAZADERA NYLON+CLAVO ACERO MX  8 N X 50,PESOS,"1326,1"
FISCHER.,FIS710,ABRAZADERA NYLON+CLAVO ACERO MX 10 B X 25,PESOS,"810,86"
FISCHER.,FIS610,ABRAZADERA NYLON+CLAVO ACERO MX 10 N X 25,PESOS,"806,14"
CARBIZ,CAB0100_SA,ABRAZADERA Nº 0 (15 A 20MM.),PESOS,"175,62"
CARBIZ,CAB0000_SA,ABRAZADERA Nº 00 (9 A 14MM.),PESOS,"174,92"
CARBIZ,CAB0101_SA,ABRAZADERA Nº 1 (20 A 25MM.),PESOS,"183,26"
CARBIZ,CAB0110_SA,ABRAZADERA Nº 10 (70 A 85MM.),PESOS,"270,02"
CARBIZ,CAB0111_SA,ABRAZADERA Nº 11 (80 A 90MM.),PESOS,"270,02"
CARBIZ,CAB0112_SA,ABRAZADERA Nº 12 (72 A 94MM.),PESOS,"270,02"
CARBIZ,CAB0113_SA,ABRAZADERA Nº 13 (78 A 101MM.),PESOS,"311,26"
CARBIZ,CAB0114_SA,ABRAZADERA Nº 14 (88 A 111MM.),PESOS,"311,26"
CARBIZ,CAB0115_SA,ABRAZADERA Nº 15 (98 A 119MM.),PESOS,"311,26"
CARBIZ,CAB0116_SA,ABRAZADERA Nº 16 (106 A 129MM.),PESOS,"412,7"
CARBIZ,CAB0117_SA,ABRAZADERA Nº 17 (116 A 140MM.),PESOS,"412,7"
CARBIZ,CAB0118_SA,ABRAZADERA Nº 18 (125 A 149MM.),PESOS,"412,7"
CARBIZ,CAB0119_SA,ABRAZADERA Nº 19 (134 A 158MM.),PESOS,"458,26"
CARBIZ,CAB0102_SA,ABRAZADERA Nº 2 (25 A 30MM.),PESOS,"189,4"
CARBIZ,CAB0120_SA,ABRAZADERA Nº 20 (144 A 167MM.),PESOS,"458,26"
CARBIZ,CAB0103_SA,ABRAZADERA Nº 3 (30 A 40MM.),PESOS,"189,4"
CARBIZ,CAB0104_SA,ABRAZADERA Nº 4 (35 A 40MM.),PESOS,"201,86"
CARBIZ,CAB0105_SA,ABRAZADERA Nº 5 (40 A 50MM.),PESOS,"201,86"
CARBIZ,CAB0106_SA,ABRAZADERA Nº 6 (40 A 55MM.),PESOS,"201,86"
CARBIZ,CAB0107_SA,ABRAZADERA Nº 7 (45 A 60MM.),PESOS,"244,06"
CARBIZ,CAB0108_SA,ABRAZADERA Nº 8 (60 A 70MM.),PESOS,"244,06"
CARBIZ,CAB0109_SA,ABRAZADERA Nº 9 (60 A 75MM.),PESOS,"244,06"
PERFECTO.,ERF5001,ABRAZADERA PARA CAÃ‘O DE ESCAPE  1 1/4,PESOS,"1077,72"
PERFECTO.,ERF5003,ABRAZADERA PARA CAÃ‘O DE ESCAPE 1 1/2,PESOS,"1120,3"
PERFECTO.,ERF5007,ABRAZADERA PARA CAÃ‘O DE ESCAPE 2,PESOS,"1195,43"
PERFECTO.,ERF5011,ABRAZADERA PARA CAÃ‘O DE ESCAPE 2 1/2,PESOS,"1407,03"
PERFECTO.,ERF5012,ABRAZADERA PARA CAÃ‘O DE ESCAPE 2 5/8,PESOS,"1407,03"
PERFECTO.,ERF5014,ABRAZADERA PARA CAÃ‘O DE ESCAPE 3,PESOS,"1984,4"
ABRAZADERAS PLASTICAS DO,ABR100,"ABRAZADERA PLAST 100 X 2,5 MM BLANCO",DOLARIZADO,"1,13"
ABRAZADERAS PLASTICAS DO,abr1100,"ABRAZADERA PLAST 100 X 2,5 MM NEGRO",DOLARIZADO,"1,13"
ABRAZADERAS PLASTICAS DO,abr1140,"ABRAZADERA PLAST 150 X 3,6 MM BLANCO",DOLARIZADO,"2,68"
ABRAZADERAS PLASTICAS DO,abr1160,"ABRAZADERA PLAST 150 X 3,6 MM NEGRO",DOLARIZADO,"2,68"
ABRAZADERAS PLASTICAS DO,ABR200,"ABRAZADERA PLAST 200 X 2,5 MM BLANCO",DOLARIZADO,3
ABRAZADERAS PLASTICAS DO,abr1175,ABRAZADERA PLAST 200 X 2.5 MM NEGRO,DOLARIZADO,"3,06"
ABRAZADERAS PLASTICAS DO,abr1121,"ABRAZADERA PLAST 200 X 3,6 MM BLANCO",DOLARIZADO,"3,06"
ABRAZADERAS PLASTICAS DO,abr1120,"ABRAZADERA PLAST 200 X 3,6 MM NEGRO",DOLARIZADO,"4,15"
ABRAZADERAS PLASTICAS DO,abr1225,"ABRAZADERA PLAST 200 X 4,6 MM BLANCO",DOLARIZADO,"4,15"
ABRAZADERAS PLASTICAS DO,abr3200,"ABRAZADERA PLAST 200 X 4,6 MM NEGRO",DOLARIZADO,"4,61"
ABRAZADERAS PLASTICAS DO,abr3250,"ABRAZADERA PLAST 250 X 4,6 MM BLANCO",DOLARIZADO,"4,61"
ABRAZADERAS PLASTICAS DO,abr3225,"ABRAZADERA PLAST 250 X 4,6 MM NEGRO",DOLARIZADO,"5,89"
ABRAZADERAS PLASTICAS DO,abr2036,"ABRAZADERA PLAST 300 X 3,6 MM BLANCO",DOLARIZADO,"7,42"
ABRAZADERAS PLASTICAS DO,abr2250,"ABRAZADERA PLAST 300 X 3,6 MM NEGRO",DOLARIZADO,"7,42"
ABRAZADERAS PLASTICAS DO,abr3300,"ABRAZADERA PLAST 300 X 4,6 MM BLANCO",DOLARIZADO,"7,16"
ABRAZADERAS PLASTICAS DO,abr2225,"ABRAZADERA PLAST 300 X 4,6 MM GRIS",DOLARIZADO,"7,16"
ABRAZADERAS PLASTICAS DO,abr3036,"ABRAZADERA PLAST 300 X 4,6 MM NEGRO",DOLARIZADO,"7,16"
ABRAZADERAS PLASTICAS DO,abr3517,"ABRAZADERA PLAST 300 X 7,6 MM BLANCO",DOLARIZADO,"13,1"
ABRAZADERAS PLASTICAS DO,abr3017,"ABRAZADERA PLAST 300 X 7,6 MM NEGRO",DOLARIZADO,"13,1"
ABRAZADERAS PLASTICAS DO,abr3541,"ABRAZADERA PLAST 350 X 4,8 MM NEGRO",DOLARIZADO,"13,3"
ABRAZADERAS PLASTICAS DO,ABR225,"ABRAZADERA PLAST 370 X 7,6 MM BLANCO",DOLARIZADO,"16,99"
ABRAZADERAS PLASTICAS DO,abr1800,"ABRAZADERA PLAST 370 X 7,6 MM NEGRO",DOLARIZADO,"16,99"
ABRAZADERAS PLASTICAS DO,abr2275,"ABRAZADERA PLAST 400 X 4,6 MM GRIS",DOLARIZADO,"16,61"
ABRAZADERAS PLASTICAS DO,abr3375,"ABRAZADERA PLAST 400 X 4,6 MM NEGRO",DOLARIZADO,"16,61"
ABRAZADERAS PLASTICAS DO,abr3767,ABRAZADERA PLAST 400 X 4.6 MM BLANCO,DOLARIZADO,"16,61"
ABRAZADERAS PLASTICAS DO,abr2300,"ABRAZADERA PLAST 580 X 12,6 MM BLANCO",DOLARIZADO,"81,72"
ABRAZADERAS PLASTICAS DO,abr5812,"ABRAZADERA PLAST 580 X 12,6 MM NEGRO",DOLARIZADO,"81,72"
PERFECTO.,ERF9101,ABRAZADERA S.PRESION 15 MM  23-28 MM,PESOS,"2121,34"
PERFECTO.,ERF9102,ABRAZADERA S.PRESION 15 MM  26-32 MM,PESOS,2190
PERFECTO.,ERF9103,ABRAZADERA S.PRESION 15 MM  30-36 MM,PESOS,"2242,82"
PERFECTO.,ERF9104,ABRAZADERA S.PRESION 20 MM  34-40 MM,PESOS,"2279,29"
PERFECTO.,ERF9105,ABRAZADERA S.PRESION 20 MM  38-44 MM,PESOS,"2435,07"
PERFECTO.,ERF9106,ABRAZADERA S.PRESION 20 MM  42-48 MM,PESOS,"2503,96"
PERFECTO.,ERF9107,ABRAZADERA S.PRESION 20 MM  46-52 MM,PESOS,"2632,84"
PERFECTO.,ERF9108,ABRAZADERA S.PRESION 20 MM  50-58 MM,PESOS,"2734,73"
PERFECTO.,ERF9109,ABRAZADERA S.PRESION 20 MM  56-64 MM,PESOS,"2799,76"
PERFECTO.,ERF9110,ABRAZADERA S.PRESION 20 MM  62-70 MM,PESOS,"2865,56"
PERFECTO.,ERF9111,ABRAZADERA S.PRESION 20 MM  68-76 MM,PESOS,"2953,93"
PERFECTO.,ERF9112,ABRAZADERA S.PRESION 20 MM  74-82 MM,PESOS,"3024,25"
PERFECTO.,ERF9113,ABRAZADERA S.PRESION 20 MM  80-88 MM,PESOS,"3178,93"
PERFECTO.,ERF9114,ABRAZADERA S.PRESION 20 MM  86-94 MM,PESOS,"3245,21"
PERFECTO.,ERF9115,ABRAZADERA S.PRESION 20 MM  92-100MM,PESOS,"3318,62"
PERFECTO.,ERF9116,ABRAZADERA S.PRESION 20 MM  98-108MM,PESOS,"3391,43"
PERFECTO.,ERF9117,ABRAZADERA S.PRESION 20 MM 104-112MM,PESOS,"3453,13"
PERFECTO.,ERF9118,ABRAZADERA S.PRESION 20 MM 110-118MM,PESOS,"3633,91"
PERFECTO.,ERF9119,ABRAZADERA S.PRESION 20 MM 116-124MM,PESOS,"3706,74"
PERFECTO.,ERF9120,ABRAZADERA S.PRESION 20 MM 122-130MM,PESOS,"3774,53"
PERFECTO.,ERF9121,ABRAZADERA S.PRESION 20 MM 128-136MM,PESOS,"3859,21"
PERFECTO.,ERF9122,ABRAZADERA S.PRESION C/RESORT 20 MM  34-40 MM,PESOS,"2734,73"
PERFECTO.,ERF9123,ABRAZADERA S.PRESION C/RESORT 20 MM  38-44 MM,PESOS,"2901,71"
PERFECTO.,ERF9124,ABRAZADERA S.PRESION C/RESORT 20 MM  42-48 MM,PESOS,"3013,02"
PERFECTO.,ERF9125,ABRAZADERA S.PRESION C/RESORT 20 MM  46-52 MM,PESOS,"3178,93"
PERFECTO.,ERF9126,ABRAZADERA S.PRESION C/RESORT 20 MM  50-58 MM,PESOS,"3245,21"
PERFECTO.,ERF9127,ABRAZADERA S.PRESION C/RESORT 20 MM  56-64 MM,PESOS,"3360,92"
PERFECTO.,ERF9128,ABRAZADERA S.PRESION C/RESORT 20 MM  62-70 MM,PESOS,"3449,31"
PERFECTO.,ERF9129,ABRAZADERA S.PRESION C/RESORT 20 MM  68-76 MM,PESOS,"3527,45"
PERFECTO.,ERF9130,ABRAZADERA S.PRESION C/RESORT 20 MM  74-82 MM,PESOS,"3633,91"
PERFECTO.,ERF9131,ABRAZADERA S.PRESION C/RESORT 20 MM  80-88 MM,PESOS,"3804,96"
PERFECTO.,ERF9132,ABRAZADERA S.PRESION C/RESORT 20 MM  86-94 MM,PESOS,"3895,66"
PERFECTO.,ERF9133,ABRAZADERA S.PRESION C/RESORT 20 MM  92-100MM,PESOS,"3992,9"
PERFECTO.,ERF9134,ABRAZADERA S.PRESION C/RESORT 20 MM  98-106MM,PESOS,"4079,07"
PERFECTO.,ERF9135,ABRAZADERA S.PRESION C/RESORT 20 MM 104-112MM,PESOS,"4148,68"
PERFECTO.,ERF9136,ABRAZADERA S.PRESION C/RESORT 20 MM 110-118MM,PESOS,"4349,06"
PERFECTO.,ERF9137,ABRAZADERA S.PRESION C/RESORT 20 MM 116-124MM,PESOS,"4447,36"
PERFECTO.,ERF9138,ABRAZADERA S.PRESION C/RESORT 20 MM 122-130MM,PESOS,"4509,77"
PERFECTO.,ERF9139,ABRAZADERA S.PRESION C/RESORT 20 MM 128-136MM,PESOS,"4609,19"
PERFECTO.,ERF9140,ABRAZADERA S.PRESION REFORZ. 24 MM  95-110MM,PESOS,"4796,26"
PERFECTO.,ERF9141,ABRAZADERA S.PRESION REFORZ. 24 MM 105-120MM,PESOS,"5209,82"
PERFECTO.,ERF9142,ABRAZADERA S.PRESION REFORZ. 24 MM 115-130MM,PESOS,"5605,87"
PERFECTO.,ERF9143,ABRAZADERA S.PRESION REFORZ. 24 MM 125-140MM,PESOS,"5760,37"
PERFECTO.,ERF9144,ABRAZADERA S.PRESION REFORZ. 24 MM 135-150MM,PESOS,"6126,55"
PERFECTO.,ERF9145,ABRAZADERA S.PRESION REFORZ. 24 MM 145-160MM,PESOS,"6489,88"
PERFECTO.,ERF9146,ABRAZADERA S.PRESION REFORZ. 24 MM 155-170MM,PESOS,"6878,97"
PERFECTO.,ERF9147,ABRAZADERA S.PRESION REFORZ. 24 MM 165-180MM,PESOS,"7237,25"
PERFECTO.,ERF9148,ABRAZADERA S.PRESION REFORZ. 24 MM 175-190MM,PESOS,"7687,68"
PERFECTO.,ERF9149,ABRAZADERA S.PRESION REFORZ. 24 MM 185-200MM,PESOS,"8132,95"
