descmarca,producto,descrip,claseprod,preciosiva
CARPO.,CAR0126,"LLAVE P/PRIS.CABEZA []  T DE 1/2""",PESOS,"67,45"
CARPO.,CAR014,"LLAVE P/PRIS.CABEZA []  T DE 1/4""",PESOS,"28,96"
CARPO.,CAR0316,"LLAVE P/PRIS.CABEZA []  T DE 3/16""",PESOS,"25,22"
CARPO.,CAR038,"LLAVE P/PRIS.CABEZA []  T DE 3/8""",PESOS,"38,93"
CARPO.,CAR0516,"LLAVE P/PRIS.CABEZA []  T DE 5/16""",PESOS,"35,83"
CARPO.,CAR058,"LLAVE P/PRIS.CABEZA []  T DE 5/8""",PESOS,"82,88"
CARPO.,CAR0716,"LLAVE P/PRIS.CABEZA []  T DE 7/16""",PESOS,"51,08"
CARPO.,CAR0916,"LLAVE P/PRIS.CABEZA []  T DE 9/16""",PESOS,"74,82"
CARPO.,CAR12,"LLAVE P/PRIS.CABEZA [] PIPA DE 1/2""",PESOS,"67,45"
CARPO.,CAR14,"LLAVE P/PRIS.CABEZA [] PIPA DE 1/4""",PESOS,"28,96"
CARPO.,CAR316,"LLAVE P/PRIS.CABEZA [] PIPA DE 3/16""",PESOS,"25,22"
CARPO.,CAR38,"LLAVE P/PRIS.CABEZA [] PIPA DE 3/8""",PESOS,"38,93"
CARPO.,CAR516,"LLAVE P/PRIS.CABEZA [] PIPA DE 5/16""",PESOS,"35,83"
CARPO.,CAR58,"LLAVE P/PRIS.CABEZA [] PIPA DE 5/8""",PESOS,"82,88"
CARPO.,CAR716,"LLAVE P/PRIS.CABEZA [] PIPA DE 7/16""",PESOS,"51,08"
CARPO.,CAR916,"LLAVE P/PRIS.CABEZA [] PIPA DE 9/16""",PESOS,"74,82"
PERROTTA,PER034,LLAVE P/REGULAR FRENO CITRÃ”EN,PESOS,"2905,89"
PERROTTA,PER33,LLAVE P/REGULAR FRENO FIAT,PESOS,"2905,89"
PERROTTA,PER02,LLAVE P/TAPON CARTER 10MM P/RENAULT Y PEUG,PESOS,"2552,47"
PERROTTA,PER197,LLAVE P/TENZAR CORREA VENTILADOR FIAT,PESOS,"2905,89"
LIN.,LIN5,LLAVE PARA AMOLADORA 4 Â½,PESOS,"774,14"
LIN.,LIN6,LLAVE PARA AMOLADORA 7 Â½,PESOS,"774,14"
BIASSONI.,BIA1591,"LLAVE PARA CAÃ‘O 1""",PESOS,"10425,85"
BIASSONI.,BIA1592,"LLAVE PARA CAÃ‘O 1-1/2""",PESOS,"14896,47"
BIASSONI.,BIA1593,"LLAVE PARA CAÃ‘O 2-1/2""",PESOS,"19764,74"
PERROTTA,PER266,LLAVE PARA CAÃ‘ONERA FORD 350,PESOS,"8351,15"
WEMBLEY DOLARIZADO,IMP915,LLAVE PARA LAVATORIO CROMADA,DOLARIZADO,"20,69"
REPUESTOS ARTICULOS BROGAS,00.LLA0006_BR,LLAVE PARA MICRO-GARRAFA,PESOS,"2618,29"
IMPORTADO. DOLARIZADO,IMP338,"LLAVE SACA BUJIA DE 13/16 Y 5/8"" DOBLE",DOLARIZADO,"15,59"
IMPORTADO. DOLARIZADO,IMP337,"LLAVE SACA BUJIA DE 13/16""",DOLARIZADO,"11,59"
IMPORTADO. DOLARIZADO,IMP336,"LLAVE SACA BUJIA DE 5/8""",DOLARIZADO,"9,08"
IMPORTADO. DOLARIZADO,IMP0014,"LLAVE STYLSON 14""",DOLARIZADO,"17,72"
IMPORTADO. DOLARIZADO,IMP0018,"LLAVE STYLSON 18""",DOLARIZADO,"30,7"
IMPORTADO. DOLARIZADO,IMP0024,"LLAVE STYLSON 24""",DOLARIZADO,"56,77"
IMPORTADO. DOLARIZADO,IMP0036,"LLAVE STYLSON 36""",DOLARIZADO,"84,29"
PERROTA,PEO3120_SA,LLAVE T CORTA DE 1/2pulg,PESOS,"294,14"
PERROTA,PEO3140_SA,LLAVE T CORTA DE 1/4pulg,PESOS,"159,18"
PERROTA,PEO0010_SA,LLAVE T CORTA DE 10MM.,PESOS,"235,32"
PERROTA,PEO31116_SA,LLAVE T CORTA DE 11/16pulg,PESOS,"712,88"
PERROTA,PEO0011_SA,LLAVE T CORTA DE 11MM.,PESOS,"235,32"
PERROTA,PEO0012_SA,LLAVE T CORTA DE 12MM.,PESOS,"256,08"
PERROTA,PEO31316_SA,LLAVE T CORTA DE 13/16pulg,PESOS,"906,68"
PERROTA,PEO0013_SA,LLAVE T CORTA DE 13MM.,PESOS,"294,14"
PERROTA,PEO0014_SA,LLAVE T CORTA DE 14MM.,PESOS,"294,14"
PERROTA,PEO0015_SA,LLAVE T CORTA DE 15MM.,PESOS,526
PERROTA,PEO0016_SA,LLAVE T CORTA DE 16MM.,PESOS,526
PERROTA,PEO0017_SA,LLAVE T CORTA DE 17MM.,PESOS,"712,88"
PERROTA,PEO0018_SA,LLAVE T CORTA DE 18MM.,PESOS,"712,88"
PERROTA,PEO0019_SA,LLAVE T CORTA DE 19MM.,PESOS,"906,68"
PERROTA,PEO0020_SA,LLAVE T CORTA DE 20MM.,PESOS,"906,68"
PERROTA,PEO0021_SA,LLAVE T CORTA DE 21MM.,PESOS,"1159,3"
PERROTA,PEO0022_SA,LLAVE T CORTA DE 22MM.,PESOS,"1159,3"
PERROTA,PEO3316_SA,LLAVE T CORTA DE 3/16pulg,PESOS,"159,18"
PERROTA,PEO3340_SA,LLAVE T CORTA DE 3/4pulg,PESOS,"906,68"
PERROTA,PEO3380_SA,LLAVE T CORTA DE 3/8pulg,PESOS,"235,32"
PERROTA,PEO3516_SA,LLAVE T CORTA DE 5/16pulg,PESOS,"200,7"
PERROTA,PEO3580_SA,LLAVE T CORTA DE 5/8pulg,PESOS,"564,08"
PERROTA,PEO0005_SA,LLAVE T CORTA DE 5MM.,PESOS,"159,18"
PERROTA,PEO0006_SA,LLAVE T CORTA DE 6MM.,PESOS,"159,18"
PERROTA,PEO3716_SA,LLAVE T CORTA DE 7/16pulg,PESOS,"235,32"
